edition_ID,City_ID,Language,State,Date,Copies Printed,copies_returned,Net_Circulation,Year
ED1010,C010,Hindi,Uttar pradesh,01-07-2022,399865,17916,381949,2022
ED1010,C010,Hindi,Uttar pradesh,01-06-2022,420921,19348,401573,2022
ED1010,C010,Hindi,Uttar pradesh,01-05-2022,423964,26807,397157,2022
ED1010,C010,Hindi,Uttar pradesh,01-04-2022,395165,31086,364079,2022
ED1010,C010,Hindi,Uttar pradesh,01-03-2022,390340,12438,377902,2022
ED1010,C010,Hindi,Uttar pradesh,01-02-2022,402955,18291,384664,2022
ED1010,C010,Hindi,Uttar pradesh,01-01-2022,430430,16040,414390,2022
ED1010,C010,Hindi,Uttar pradesh,01-12-2021,427451,17045,410406,2021
ED1010,C010,Hindi,Uttar pradesh,01-11-2021,414728,30357,384371,2021
ED1010,C010,Hindi,Uttar pradesh,01-10-2021,425905,16802,409103,2021
ED1010,C010,Hindi,Uttar pradesh,01-09-2021,420921,24243,396678,2021
ED1010,C010,Hindi,Uttar pradesh,01-08-2021,433448,22366,411082,2021
ED1010,C010,Hindi,Uttar pradesh,01-07-2021,446936,30980,415956,2021
ED1010,C010,Hindi,Uttar pradesh,01-06-2021,415364,28191,387173,2021
ED1010,C010,Hindi,Uttar pradesh,01-05-2021,414465,18439,396026,2021
ED1010,C010,Hindi,Uttar pradesh,01-04-2021,443605,31772,411833,2021
ED1010,C010,Hindi,Uttar pradesh,01-03-2021,417421,25048,392373,2021
ED1010,C010,Hindi,Uttar pradesh,01-02-2021,437450,18105,419345,2021
ED1010,C010,Hindi,Uttar pradesh,01-01-2021,413556,31538,382018,2021
ED1010,C010,Hindi,Uttar pradesh,01-12-2020,474884,33059,441825,2020
ED1010,C010,Hindi,Uttar pradesh,01-11-2020,468330,22547,445783,2020
ED1010,C010,Hindi,Uttar pradesh,01-10-2020,436144,31892,404252,2020
ED1010,C010,Hindi,Uttar pradesh,01-09-2020,479906,26402,453504,2020
ED1010,C010,Hindi,Uttar pradesh,01-08-2020,439256,15046,424210,2020
ED1010,C010,Hindi,Uttar pradesh,01-07-2020,465825,29362,436463,2020
ED1010,C010,Hindi,Uttar pradesh,01-06-2020,448298,19049,429249,2020
ED1010,C010,Hindi,Uttar pradesh,01-05-2020,438755,21279,417476,2020
ED1010,C010,Hindi,Uttar pradesh,01-04-2020,455526,21880,433646,2020
ED1010,C010,Hindi,Uttar pradesh,01-03-2020,477141,16661,460480,2020
ED1010,C010,Hindi,Uttar pradesh,01-02-2020,456793,23564,433229,2020
ED1010,C010,Hindi,Uttar pradesh,01-01-2020,444565,25107,419458,2020
ED1010,C010,Hindi,Uttar pradesh,01-12-2019,500432,38021,462411,2019
ED1010,C010,Hindi,Uttar pradesh,01-11-2019,464625,33019,431606,2019
ED1010,C010,Hindi,Uttar pradesh,01-10-2019,507012,19757,487255,2019
ED1010,C010,Hindi,Uttar pradesh,01-09-2019,506401,28703,477698,2019
ED1010,C010,Hindi,Uttar pradesh,01-08-2019,502705,29789,472916,2019
ED1010,C010,Hindi,Uttar pradesh,01-07-2019,478384,26410,451974,2019
ED1010,C010,Hindi,Uttar pradesh,01-06-2019,489575,27396,462179,2019
ED1010,C010,Hindi,Uttar pradesh,01-05-2019,480926,35500,445426,2019
ED1010,C010,Hindi,Uttar pradesh,01-04-2019,495571,36995,458576,2019
ED1010,C010,Hindi,Uttar pradesh,01-03-2019,500405,28526,471879,2019
ED1010,C010,Hindi,Uttar pradesh,01-02-2019,499292,22929,476363,2019
ED1010,C010,Hindi,Uttar pradesh,01-01-2019,470435,37574,432861,2019
ED1008,C008,Hindi,Uttar pradesh,01-12-2024,285163,11104,274059,2024
ED1008,C008,Hindi,Uttar pradesh,01-11-2024,299971,20533,279438,2024
ED1008,C008,Hindi,Uttar pradesh,01-10-2024,281599,12239,269360,2024
ED1008,C008,Hindi,Uttar pradesh,01-09-2024,278845,9840,269005,2024
ED1008,C008,Hindi,Uttar pradesh,01-08-2024,283139,21735,261404,2024
ED1008,C008,Hindi,Uttar pradesh,01-07-2024,281380,19064,262316,2024
ED1008,C008,Hindi,Uttar pradesh,01-06-2024,299314,17723,281591,2024
ED1008,C008,Hindi,Uttar pradesh,01-05-2024,297245,19047,278198,2024
ED1008,C008,Hindi,Uttar pradesh,01-04-2024,289849,21452,268397,2024
ED1008,C008,Hindi,Uttar pradesh,01-03-2024,284706,20245,264461,2024
ED1008,C008,Hindi,Uttar pradesh,01-02-2024,284638,12119,272519,2024
ED1008,C008,Hindi,Uttar pradesh,01-01-2024,278000,8569,269431,2024
ED1008,C008,Hindi,Uttar pradesh,01-12-2023,293693,20074,273619,2023
ED1008,C008,Hindi,Uttar pradesh,01-11-2023,302169,23058,279111,2023
ED1008,C008,Hindi,Uttar pradesh,01-10-2023,314092,11885,302207,2023
ED1008,C008,Hindi,Uttar pradesh,01-09-2023,303528,18662,284866,2023
ED1008,C008,Hindi,Uttar pradesh,01-08-2023,298630,11882,286748,2023
ED1008,C008,Hindi,Uttar pradesh,01-07-2023,297132,19299,277833,2023
ED1008,C008,Hindi,Uttar pradesh,01-06-2023,304510,10203,294307,2023
ED1008,C008,Hindi,Uttar pradesh,01-05-2023,310510,14711,295799,2023
ED1008,C008,Hindi,Uttar pradesh,01-04-2023,290811,22582,268229,2023
ED1008,C008,Hindi,Uttar pradesh,01-03-2023,295287,12082,283205,2023
ED1008,C008,Hindi,Uttar pradesh,01-02-2023,300348,10038,290310,2023
ED1008,C008,Hindi,Uttar pradesh,01-01-2023,291126,9742,281384,2023
ED1008,C008,Hindi,Uttar pradesh,01-12-2022,325235,10835,314400,2022
ED1008,C008,Hindi,Uttar pradesh,01-11-2022,337050,21221,315829,2022
ED1008,C008,Hindi,Uttar pradesh,01-10-2022,321968,10534,311434,2022
ED1008,C008,Hindi,Uttar pradesh,01-09-2022,317011,13471,303540,2022
ED1008,C008,Hindi,Uttar pradesh,01-08-2022,333280,23147,310133,2022
ED1008,C008,Hindi,Uttar pradesh,01-07-2022,315365,10785,304580,2022
ED1008,C008,Hindi,Uttar pradesh,01-06-2022,309216,14045,295171,2022
ED1008,C008,Hindi,Uttar pradesh,01-05-2022,333128,13029,320099,2022
ED1008,C008,Hindi,Uttar pradesh,01-04-2022,317426,14906,302520,2022
ED1008,C008,Hindi,Uttar pradesh,01-03-2022,338562,26544,312018,2022
ED1008,C008,Hindi,Uttar pradesh,01-02-2022,309472,10895,298577,2022
ED1008,C008,Hindi,Uttar pradesh,01-01-2022,311206,24855,286351,2022
ED1008,C008,Hindi,Uttar pradesh,01-12-2021,341258,24146,317112,2021
ED1008,C008,Hindi,Uttar pradesh,01-11-2021,358005,21923,336082,2021
ED1008,C008,Hindi,Uttar pradesh,01-10-2021,332029,20139,311890,2021
ED1008,C008,Hindi,Uttar pradesh,01-09-2021,329679,12959,316720,2021
ED1008,C008,Hindi,Uttar pradesh,01-08-2021,333142,12782,320360,2021
ED1008,C008,Hindi,Uttar pradesh,01-07-2021,341449,18181,323268,2021
ED1008,C008,Hindi,Uttar pradesh,01-06-2021,354278,19786,334492,2021
ED1008,C008,Hindi,Uttar pradesh,01-05-2021,351882,27321,324561,2021
ED1008,C008,Hindi,Uttar pradesh,01-04-2021,331517,14384,317133,2021
ED1008,C008,Hindi,Uttar pradesh,01-03-2021,342639,14312,328327,2021
ED1008,C008,Hindi,Uttar pradesh,01-02-2021,359948,15287,344661,2021
ED1008,C008,Hindi,Uttar pradesh,01-01-2021,347194,14004,333190,2021
ED1008,C008,Hindi,Uttar pradesh,01-12-2020,370710,20295,350415,2020
ED1008,C008,Hindi,Uttar pradesh,01-11-2020,366921,23169,343752,2020
ED1008,C008,Hindi,Uttar pradesh,01-10-2020,359740,11120,348620,2020
ED1008,C008,Hindi,Uttar pradesh,01-09-2020,366091,27741,338350,2020
ED1008,C008,Hindi,Uttar pradesh,01-08-2020,366111,19900,346211,2020
ED1008,C008,Hindi,Uttar pradesh,01-07-2020,351326,11148,340178,2020
ED1008,C008,Hindi,Uttar pradesh,01-06-2020,379174,20291,358883,2020
ED1008,C008,Hindi,Uttar pradesh,01-05-2020,365086,25284,339802,2020
ED1008,C008,Hindi,Uttar pradesh,01-04-2020,366678,28791,337887,2020
ED1008,C008,Hindi,Uttar pradesh,01-03-2020,371097,12480,358617,2020
ED1008,C008,Hindi,Uttar pradesh,01-02-2020,370090,13357,356733,2020
ED1008,C008,Hindi,Uttar pradesh,01-01-2020,357592,13802,343790,2020
ED1008,C008,Hindi,Uttar pradesh,01-12-2019,383849,15938,367911,2019
ED1008,C008,Hindi,Uttar pradesh,01-11-2019,385207,25419,359788,2019
ED1008,C008,Hindi,Uttar pradesh,01-10-2019,384291,12636,371655,2019
ED1008,C008,Hindi,Uttar pradesh,01-09-2019,383817,30508,353309,2019
ED1008,C008,Hindi,Uttar pradesh,01-08-2019,376851,22825,354026,2019
ED1008,C008,Hindi,Uttar pradesh,01-07-2019,373047,29643,343404,2019
ED1008,C008,Hindi,Uttar pradesh,01-06-2019,400540,18893,381647,2019
ED1008,C008,Hindi,Uttar pradesh,01-05-2019,393557,13129,380428,2019
ED1008,C008,Hindi,Uttar pradesh,01-04-2019,398299,16477,381822,2019
ED1008,C008,Hindi,Uttar pradesh,01-03-2019,377684,22830,354854,2019
ED1008,C008,Hindi,Uttar pradesh,01-02-2019,372778,24066,348712,2019
ED1008,C008,Hindi,Uttar pradesh,01-01-2019,362751,14529,348222,2019
ED1001,C001,Hindi,Uttar pradesh,01-12-2024,152122,7049,145073,2024
ED1001,C001,Hindi,Uttar pradesh,01-11-2024,146927,7829,139098,2024
ED1001,C001,Hindi,Uttar pradesh,01-10-2024,161378,10424,150954,2024
ED1001,C001,Hindi,Uttar pradesh,01-09-2024,156904,6338,150566,2024
ED1001,C001,Hindi,Uttar pradesh,01-08-2024,151526,6891,144635,2024
ED1001,C001,Hindi,Uttar pradesh,01-07-2024,160376,6900,153476,2024
ED1001,C001,Hindi,Uttar pradesh,01-06-2024,149986,6387,143599,2024
ED1001,C001,Hindi,Uttar pradesh,01-05-2024,152776,8424,144352,2024
ED1001,C001,Hindi,Uttar pradesh,01-04-2024,155269,9394,145875,2024
ED1001,C001,Hindi,Uttar pradesh,01-03-2024,161495,11730,149765,2024
ED1001,C001,Hindi,Uttar pradesh,01-02-2024,156049,9881,146168,2024
ED1001,C001,Hindi,Uttar pradesh,01-01-2024,162016,12321,149695,2024
ED1001,C001,Hindi,Uttar pradesh,01-12-2023,167015,9768,157247,2023
ED1001,C001,Hindi,Uttar pradesh,01-11-2023,169050,12542,156508,2023
ED1001,C001,Hindi,Uttar pradesh,01-10-2023,172787,5803,166984,2023
ED1001,C001,Hindi,Uttar pradesh,01-09-2023,163687,5466,158221,2023
ED1001,C001,Hindi,Uttar pradesh,01-08-2023,162799,10087,152712,2023
ED1001,C001,Hindi,Uttar pradesh,01-07-2023,168893,12285,156608,2023
ED1001,C001,Hindi,Uttar pradesh,01-06-2023,158938,6724,152214,2023
ED1001,C001,Hindi,Uttar pradesh,01-05-2023,156940,4991,151949,2023
ED1001,C001,Hindi,Uttar pradesh,01-04-2023,157662,11393,146269,2023
ED1001,C001,Hindi,Uttar pradesh,01-03-2023,166088,9479,156609,2023
ED1001,C001,Hindi,Uttar pradesh,01-02-2023,171576,11259,160317,2023
ED1001,C001,Hindi,Uttar pradesh,01-01-2023,170434,5732,164702,2023
ED1001,C001,Hindi,Uttar pradesh,01-12-2022,179866,6404,173462,2022
ED1001,C001,Hindi,Uttar pradesh,01-11-2022,183103,8634,174469,2022
ED1001,C001,Hindi,Uttar pradesh,01-10-2022,177713,12901,164812,2022
ED1001,C001,Hindi,Uttar pradesh,01-09-2022,180272,13479,166793,2022
ED1001,C001,Hindi,Uttar pradesh,01-08-2022,168287,7054,161233,2022
ED1001,C001,Hindi,Uttar pradesh,01-07-2022,179596,8762,170834,2022
ED1001,C001,Hindi,Uttar pradesh,01-06-2022,177239,13834,163405,2022
ED1001,C001,Hindi,Uttar pradesh,01-05-2022,183598,10862,172736,2022
ED1001,C001,Hindi,Uttar pradesh,01-04-2022,166729,5975,160754,2022
ED1001,C001,Hindi,Uttar pradesh,01-03-2022,172470,8671,163799,2022
ED1001,C001,Hindi,Uttar pradesh,01-02-2022,166471,5323,161148,2022
ED1001,C001,Hindi,Uttar pradesh,01-01-2022,176470,6256,170214,2022
ED1001,C001,Hindi,Uttar pradesh,01-12-2021,183747,8214,175533,2021
ED1001,C001,Hindi,Uttar pradesh,01-11-2021,183241,14530,168711,2021
ED1001,C001,Hindi,Uttar pradesh,01-10-2021,194492,12156,182336,2021
ED1001,C001,Hindi,Uttar pradesh,01-09-2021,191553,12629,178924,2021
ED1001,C001,Hindi,Uttar pradesh,01-08-2021,191534,11091,180443,2021
ED1001,C001,Hindi,Uttar pradesh,01-07-2021,184874,11596,173278,2021
ED1001,C001,Hindi,Uttar pradesh,01-06-2021,185010,12024,172986,2021
ED1001,C001,Hindi,Uttar pradesh,01-05-2021,192181,10922,181259,2021
ED1001,C001,Hindi,Uttar pradesh,01-04-2021,176911,8458,168453,2021
ED1001,C001,Hindi,Uttar pradesh,01-03-2021,190942,8737,182205,2021
ED1001,C001,Hindi,Uttar pradesh,01-02-2021,179246,7859,171387,2021
ED1001,C001,Hindi,Uttar pradesh,01-01-2021,192396,12034,180362,2021
ED1001,C001,Hindi,Uttar pradesh,01-12-2020,204263,10604,193659,2020
ED1001,C001,Hindi,Uttar pradesh,01-11-2020,195830,12781,183049,2020
ED1001,C001,Hindi,Uttar pradesh,01-10-2020,204356,13975,190381,2020
ED1001,C001,Hindi,Uttar pradesh,01-09-2020,205413,13482,191931,2020
ED1001,C001,Hindi,Uttar pradesh,01-08-2020,198483,13054,185429,2020
ED1001,C001,Hindi,Uttar pradesh,01-07-2020,191981,10816,181165,2020
ED1001,C001,Hindi,Uttar pradesh,01-06-2020,195141,12695,182446,2020
ED1001,C001,Hindi,Uttar pradesh,01-05-2020,190618,7629,182989,2020
ED1001,C001,Hindi,Uttar pradesh,01-04-2020,193147,11422,181725,2020
ED1001,C001,Hindi,Uttar pradesh,01-03-2020,186109,6328,179781,2020
ED1001,C001,Hindi,Uttar pradesh,01-02-2020,205293,8838,196455,2020
ED1001,C001,Hindi,Uttar pradesh,01-01-2020,192078,6990,185088,2020
ED1001,C001,Hindi,Uttar pradesh,01-12-2019,201150,15258,185892,2019
ED1001,C001,Hindi,Uttar pradesh,01-11-2019,208186,8632,199554,2019
ED1001,C001,Hindi,Uttar pradesh,01-10-2019,205192,6805,198387,2019
ED1001,C001,Hindi,Uttar pradesh,01-09-2019,210227,12778,197449,2019
ED1001,C001,Hindi,Uttar pradesh,01-08-2019,205447,12781,192666,2019
ED1001,C001,Hindi,Uttar pradesh,01-07-2019,204007,12846,191161,2019
ED1001,C001,Hindi,Uttar pradesh,01-06-2019,210775,10072,200703,2019
ED1001,C001,Hindi,Uttar pradesh,01-05-2019,213822,6939,206883,2019
ED1001,C001,Hindi,Uttar pradesh,01-04-2019,201220,6569,194651,2019
ED1001,C001,Hindi,Uttar pradesh,01-03-2019,198628,13704,184924,2019
ED1001,C001,Hindi,Uttar pradesh,01-02-2019,198270,14522,183748,2019
ED1001,C001,Hindi,Uttar pradesh,01-01-2019,211806,11669,200137,2019
ED1002,C002,English,Delhi,01-12-2024,281237,12155,269082,2024
ED1002,C002,English,Delhi,01-11-2024,290649,15885,274764,2024
ED1002,C002,English,Delhi,01-10-2024,287361,21671,265690,2024
ED1002,C002,English,Delhi,01-09-2024,292026,19106,272920,2024
ED1002,C002,English,Delhi,01-08-2024,292105,10297,281808,2024
ED1002,C002,English,Delhi,01-07-2024,296188,18293,277895,2024
ED1002,C002,English,Delhi,01-06-2024,297083,22671,274412,2024
ED1002,C002,English,Delhi,01-05-2024,273965,21792,252173,2024
ED1002,C002,English,Delhi,01-04-2024,291694,22100,269594,2024
ED1002,C002,English,Delhi,01-03-2024,294099,22931,271168,2024
ED1002,C002,English,Delhi,01-02-2024,299137,22038,277099,2024
ED1002,C002,English,Delhi,01-01-2024,282501,17096,265405,2024
ED1002,C002,English,Delhi,01-12-2023,292264,19810,272454,2023
ED1002,C002,English,Delhi,01-11-2023,301072,23840,277232,2023
ED1002,C002,English,Delhi,01-10-2023,300381,16472,283909,2023
ED1002,C002,English,Delhi,01-09-2023,303202,12938,290264,2023
ED1002,C002,English,Delhi,01-08-2023,304256,23271,280985,2023
ED1002,C002,English,Delhi,01-07-2023,298251,10127,288124,2023
ED1002,C002,English,Delhi,01-06-2023,315684,17506,298178,2023
ED1002,C002,English,Delhi,01-05-2023,307469,18023,289446,2023
ED1002,C002,English,Delhi,01-04-2023,292983,22927,270056,2023
ED1002,C002,English,Delhi,01-03-2023,317071,21657,295414,2023
ED1002,C002,English,Delhi,01-02-2023,315721,20264,295457,2023
ED1002,C002,English,Delhi,01-01-2023,319153,13703,305450,2023
ED1002,C002,English,Delhi,01-12-2022,317276,21051,296225,2022
ED1002,C002,English,Delhi,01-11-2022,327736,20675,307061,2022
ED1002,C002,English,Delhi,01-10-2022,320199,24615,295584,2022
ED1002,C002,English,Delhi,01-09-2022,333296,26422,306874,2022
ED1002,C002,English,Delhi,01-08-2022,322620,11020,311600,2022
ED1002,C002,English,Delhi,01-07-2022,323679,21547,302132,2022
ED1002,C002,English,Delhi,01-06-2022,320662,13153,307509,2022
ED1002,C002,English,Delhi,01-05-2022,338375,16342,322033,2022
ED1002,C002,English,Delhi,01-04-2022,338604,25033,313571,2022
ED1002,C002,English,Delhi,01-03-2022,310536,10843,299693,2022
ED1002,C002,English,Delhi,01-02-2022,336080,11781,324299,2022
ED1002,C002,English,Delhi,01-01-2022,333163,13288,319875,2022
ED1002,C002,English,Delhi,01-12-2021,328098,22971,305127,2021
ED1002,C002,English,Delhi,01-11-2021,356211,25456,330755,2021
ED1002,C002,English,Delhi,01-10-2021,341868,17970,323898,2021
ED1002,C002,English,Delhi,01-09-2021,352928,22534,330394,2021
ED1002,C002,English,Delhi,01-08-2021,353024,13150,339874,2021
ED1002,C002,English,Delhi,01-07-2021,348093,11620,336473,2021
ED1002,C002,English,Delhi,01-06-2021,351210,18616,332594,2021
ED1002,C002,English,Delhi,01-05-2021,333290,17654,315636,2021
ED1002,C002,English,Delhi,01-04-2021,330327,25420,304907,2021
ED1002,C002,English,Delhi,01-03-2021,344462,25664,318798,2021
ED1002,C002,English,Delhi,01-02-2021,341324,10896,330428,2021
ED1002,C002,English,Delhi,01-01-2021,351519,15734,335785,2021
ED1002,C002,English,Delhi,01-12-2020,349735,25128,324607,2020
ED1002,C002,English,Delhi,01-11-2020,367848,13467,354381,2020
ED1002,C002,English,Delhi,01-10-2020,360098,17536,342562,2020
ED1002,C002,English,Delhi,01-09-2020,375918,19433,356485,2020
ED1002,C002,English,Delhi,01-08-2020,364920,17774,347146,2020
ED1002,C002,English,Delhi,01-07-2020,360134,23892,336242,2020
ED1002,C002,English,Delhi,01-06-2020,370168,20752,349416,2020
ED1002,C002,English,Delhi,01-05-2020,349433,22561,326872,2020
ED1002,C002,English,Delhi,01-04-2020,374554,13628,360926,2020
ED1002,C002,English,Delhi,01-03-2020,356422,17505,338917,2020
ED1002,C002,English,Delhi,01-02-2020,378800,13403,365397,2020
ED1002,C002,English,Delhi,01-01-2020,374659,20241,354418,2020
ED1002,C002,English,Delhi,01-12-2019,395790,12887,382903,2019
ED1002,C002,English,Delhi,01-11-2019,400587,29577,371010,2019
ED1002,C002,English,Delhi,01-10-2019,372975,27522,345453,2019
ED1002,C002,English,Delhi,01-09-2019,364960,27638,337322,2019
ED1002,C002,English,Delhi,01-08-2019,379822,21149,358673,2019
ED1002,C002,English,Delhi,01-07-2019,384598,20109,364489,2019
ED1002,C002,English,Delhi,01-06-2019,387789,11738,376051,2019
ED1002,C002,English,Delhi,01-05-2019,397820,27489,370331,2019
ED1002,C002,English,Delhi,01-04-2019,385918,15631,370287,2019
ED1002,C002,English,Delhi,01-03-2019,370373,21245,349128,2019
ED1002,C002,English,Delhi,01-02-2019,371419,23489,347930,2019
ED1002,C002,English,Delhi,01-01-2019,396250,15569,380681,2019
ED1006,C006,English,maharashtra,01-12-2024,311533,22068,289465,2024
ED1006,C006,English,maharashtra,01-11-2024,304809,13930,290879,2024
ED1006,C006,English,maharashtra,01-10-2024,303020,9716,293304,2024
ED1006,C006,English,maharashtra,01-09-2024,307852,21945,285907,2024
ED1006,C006,English,maharashtra,01-08-2024,319995,10479,309516,2024
ED1006,C006,English,maharashtra,01-07-2024,318741,21801,296940,2024
ED1006,C006,English,maharashtra,01-06-2024,327225,10187,317038,2024
ED1006,C006,English,maharashtra,01-05-2024,321247,20089,301158,2024
ED1006,C006,English,maharashtra,01-04-2024,301702,22930,278772,2024
ED1006,C006,English,maharashtra,01-03-2024,330634,21466,309168,2024
ED1006,C006,English,maharashtra,01-02-2024,321044,18300,302744,2024
ED1006,C006,English,maharashtra,01-01-2024,307998,13660,294338,2024
ED1006,C006,English,maharashtra,01-12-2023,321671,23740,297931,2023
ED1006,C006,English,maharashtra,01-11-2023,330041,15405,314636,2023
ED1006,C006,English,maharashtra,01-10-2023,333322,13546,319776,2023
ED1006,C006,English,maharashtra,01-09-2023,346960,20431,326529,2023
ED1006,C006,English,maharashtra,01-08-2023,324550,20306,304244,2023
ED1006,C006,English,maharashtra,01-07-2023,335223,19435,315788,2023
ED1006,C006,English,maharashtra,01-06-2023,350455,21184,329271,2023
ED1006,C006,English,maharashtra,01-05-2023,325865,14547,311318,2023
ED1006,C006,English,maharashtra,01-04-2023,321252,11856,309396,2023
ED1006,C006,English,maharashtra,01-03-2023,351024,15435,335589,2023
ED1006,C006,English,maharashtra,01-02-2023,322438,17714,304724,2023
ED1006,C006,English,maharashtra,01-01-2023,348027,24975,323052,2023
ED1006,C006,English,maharashtra,01-12-2022,350550,19990,330560,2022
ED1006,C006,English,maharashtra,01-11-2022,360956,14802,346154,2022
ED1006,C006,English,maharashtra,01-10-2022,341316,10682,330634,2022
ED1006,C006,English,maharashtra,01-09-2022,350362,25717,324645,2022
ED1006,C006,English,maharashtra,01-08-2022,344331,18026,326305,2022
ED1006,C006,English,maharashtra,01-07-2022,353031,11203,341828,2022
ED1006,C006,English,maharashtra,01-06-2022,356241,19228,337013,2022
ED1006,C006,English,maharashtra,01-05-2022,341885,18674,323211,2022
ED1006,C006,English,maharashtra,01-04-2022,341419,12054,329365,2022
ED1006,C006,English,maharashtra,01-03-2022,349292,10742,338550,2022
ED1006,C006,English,maharashtra,01-02-2022,361828,17506,344322,2022
ED1006,C006,English,maharashtra,01-01-2022,356679,21708,334971,2022
ED1006,C006,English,maharashtra,01-12-2021,375713,13938,361775,2021
ED1006,C006,English,maharashtra,01-11-2021,377815,17511,360304,2021
ED1006,C006,English,maharashtra,01-10-2021,362712,24978,337734,2021
ED1006,C006,English,maharashtra,01-09-2021,385886,23622,362264,2021
ED1006,C006,English,maharashtra,01-08-2021,369967,25111,344856,2021
ED1006,C006,English,maharashtra,01-07-2021,377357,17925,359432,2021
ED1006,C006,English,maharashtra,01-06-2021,389549,14397,375152,2021
ED1006,C006,English,maharashtra,01-05-2021,394747,29544,365203,2021
ED1006,C006,English,maharashtra,01-04-2021,380638,13316,367322,2021
ED1006,C006,English,maharashtra,01-03-2021,370814,16084,354730,2021
ED1006,C006,English,maharashtra,01-02-2021,386629,30682,355947,2021
ED1006,C006,English,maharashtra,01-01-2021,368060,23621,344439,2021
ED1006,C006,English,maharashtra,01-12-2020,403461,15765,387696,2020
ED1006,C006,English,maharashtra,01-11-2020,397852,28110,369742,2020
ED1006,C006,English,maharashtra,01-10-2020,387298,30334,356964,2020
ED1006,C006,English,maharashtra,01-09-2020,395698,28423,367275,2020
ED1006,C006,English,maharashtra,01-08-2020,394137,28202,365935,2020
ED1006,C006,English,maharashtra,01-07-2020,411237,14933,396304,2020
ED1006,C006,English,maharashtra,01-06-2020,408191,25077,383114,2020
ED1006,C006,English,maharashtra,01-05-2020,416717,20879,395838,2020
ED1006,C006,English,maharashtra,01-04-2020,389210,11735,377475,2020
ED1006,C006,English,maharashtra,01-03-2020,399016,16075,382941,2020
ED1006,C006,English,maharashtra,01-02-2020,418157,23899,394258,2020
ED1006,C006,English,maharashtra,01-01-2020,412578,30046,382532,2020
ED1006,C006,English,maharashtra,01-12-2019,405002,23327,381675,2019
ED1006,C006,English,maharashtra,01-11-2019,410682,12603,398079,2019
ED1006,C006,English,maharashtra,01-10-2019,402349,13818,388531,2019
ED1006,C006,English,maharashtra,01-09-2019,420151,29899,390252,2019
ED1006,C006,English,maharashtra,01-08-2019,424402,26771,397631,2019
ED1006,C006,English,maharashtra,01-07-2019,403289,20387,382902,2019
ED1006,C006,English,maharashtra,01-06-2019,432670,17238,415432,2019
ED1006,C006,English,maharashtra,01-05-2019,411524,12811,398713,2019
ED1006,C006,English,maharashtra,01-04-2019,413633,28647,384986,2019
ED1006,C006,English,maharashtra,01-03-2019,432945,18010,414935,2019
ED1006,C006,English,maharashtra,01-02-2019,420971,30706,390265,2019
ED1006,C006,English,maharashtra,01-01-2019,421894,22522,399372,2019
ED1003,C003,Hindi,Madhya_Pradesh,01-12-2024,211342,16081,195261,2024
ED1003,C003,Hindi,Madhya_Pradesh,01-11-2024,216889,7440,209449,2024
